ttrss-flag-publish||<character>||""||If set and Tiny Tiny RSS support is used, then all articles that are <<#_flagging_articles,flagged with the specified flag>> are being marked as "published" in Tiny Tiny RSS.||ttrss-flag-publish "b"
ttrss-flag-star||<character>||""||If set and Tiny Tiny RSS support is used, then all articles that are <<#_flagging_articles,flagged with the specified flag>> are being "starred" in Tiny Tiny RSS.||ttrss-flag-star "a"
ttrss-login||<username>||""||Sets the username for use with Tiny Tiny RSS.||ttrss-login "admin"
ttrss-mode||[multi/single]||multi||Configures the mode in which Tiny Tiny RSS is used. In single-user mode, login and password are used for HTTP authentication, while in multi-user mode, they are used for authenticating with Tiny Tiny RSS.||ttrss-mode "single"
ttrss-password||<password>||""||Configures the password for use with Tiny Tiny RSS. Double quotes and backslashes within it <<#_using_double_quotes,should be escaped>>.||ttrss-password "here_goesAquote:\""
ttrss-passwordeval||<command>||""||A more secure alternative to the above, is providing your password from an external command that is evaluated during login. This can be used to read your password from a gpg encrypted file or your system keyring.||ttrss-passwordeval "gpg --decrypt ~/.newsboat/ttrss-password.gpg"
ttrss-passwordfile||<path>||""||Another alternative, by storing your plaintext password elsewhere in your system.||ttrss-passwordfile "~/.newsboat/ttrss-pw.txt"
ttrss-url||<url>||""||Configures the URL where the Tiny Tiny RSS installation you want to use resides.||ttrss-url "https://example.com/ttrss/"
unbind-key||<key> [<dialog>]||n/a||Unbind key <key>. This means that no operation is called when <key> is pressed. `unbind-key` uses the syntax for special keys as specified in the **Key** section of <<_old_style_key_bindings,Old Style Key Bindings>>. If you provide "-a" as <key>, all currently bound keys will become unbound. Optionally, you can specify a dialog (for a list of available dialogs, see <<bind-key,`bind-key`>> above). If you specify one, the key binding will only be unbound for the specified dialog.||unbind-key R
urls-source||<source>||"local"||This configuration command sets the source where URLs shall be retrieved from. By default, this is the _urls_ file. Alternatively, you can set it to `opml`, which enables Newsboat's OPML online subscription mode, to `ttrss` which enables Newsboat's Tiny Tiny RSS support, to `oldreader`, which enables Newsboat's The Old Reader support, to `newsblur`, which enables NewsBlur support, to `feedbin` for Feedbin support, to `feedhq` for FeedHQ support, to `freshrss` for FreshRSS support, to `ocnews` for ownCloud News support, to `inoreader` for Inoreader support, or to `miniflux` for Miniflux support. Query feed specifications will be read from the local urls file regardless of this setting.||urls-source "oldreader"
urlview-title-format||<format>||"%N %V - URLs" (localized)||Format of the title in URL view. See "Format Strings" section of Newsboat manual for details on available formats.||urlview-title-format "URLs"
use-proxy||[yes/no]||no||If set to `yes`, then the configured proxy will be used for downloading the RSS feeds.||use-proxy yes
user-agent||<string>||""||If set to a non-zero-length string, this value will be used as HTTP User-Agent header for all HTTP requests.||user-agent "Lynx/2.8.5rel.1 libwww-FM/2.14"
wrap-scroll||[yes/no]||no||If set to `yes`, moving down while on the last item in a list will wrap around to the top and vice versa.||wrap-scroll yes
